 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV_ID
1,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:239,0,43018,0,43018,43018,43018,35.083,693.25,1.128,1.128,0,43018,43018,43018,239,1
2,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:240,0,41413,0,41413,41413,41413,61.667,690.5,1.128,1.128,0,41413,41413,41413,240,1
3,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:241,0,42642,0,42642,42642,42642,84.667,687.25,1.128,1.128,0,42642,42642,42642,241,1
4,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:242,0,42176,0,42176,42176,42176,108.188,683.938,1.128,1.128,0,42176,42176,42176,242,1
5,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:244,0,42811,0,42811,42811,42811,155,677.25,1.128,1.128,0,42811,42811,42811,244,1
6,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:246,0,43580,0,43580,43580,43580,197.25,671,1.128,1.128,0,43580,43580,43580,246,1
7,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:247,0,43995,0,43995,43995,43995,217.5,667.417,1.128,1.128,0,43995,43995,43995,247,1
8,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:248,0,44174,0,44174,44174,44174,236.917,663.083,1.128,1.128,0,44174,44174,44174,248,1
9,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:249,0,43715,0,43715,43715,43715,253.917,660.167,1.128,1.128,0,43715,43715,43715,249,1
10,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:250,0,43767,0,43767,43767,43767,272.083,657,1.128,1.128,0,43767,43767,43767,250,1
11,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:251,0,43780,0,43780,43780,43780,290.083,653.25,1.128,1.128,0,43780,43780,43780,251,1
12,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:252,0,43961,0,43961,43961,43961,306.875,649.75,1.128,1.128,0,43961,43961,43961,252,1
13,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:253,0,43815,0,43815,43815,43815,322.875,646.25,1.128,1.128,0,43815,43815,43815,253,1
14,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:254,0,44298,0,44298,44298,44298,338.375,642,1.128,1.128,0,44298,44298,44298,254,1
15,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:255,0,44531,0,44531,44531,44531,352.625,638.5,1.128,1.128,0,44531,44531,44531,255,1
16,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:256,0,44306,0,44306,44306,44306,365.875,633.25,1.128,1.128,0,44306,44306,44306,256,1
17,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:257,0,44177,0,44177,44177,44177,380.5,629.375,1.128,1.128,0,44177,44177,44177,257,1
18,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:258,0,44154,0,44154,44154,44154,393.25,625.125,1.128,1.128,0,44154,44154,44154,258,1
19,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:259,0,43904,0,43904,43904,43904,406.375,620.875,1.128,1.128,0,43904,43904,43904,259,1
20,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:260,0,44409,0,44409,44409,44409,419.375,616.375,1.128,1.128,0,44409,44409,44409,260,1
21,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:261,0,44260,0,44260,44260,44260,430.5,611.833,1.128,1.128,0,44260,44260,44260,261,1
22,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:262,0,44633,0,44633,44633,44633,441.833,607.167,1.128,1.128,0,44633,44633,44633,262,1
23,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:263,0,44416,0,44416,44416,44416,450.5,601.5,1.128,1.128,0,44416,44416,44416,263,1
24,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:276,0,46177,0,46177,46177,46177,558.75,524,1.128,1.128,0,46177,46177,46177,276,1
25,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:277,0,45490,0,45490,45490,45490,565.625,515.875,1.128,1.128,0,45490,45490,45490,277,1
26,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:278,0,46186,0,46186,46186,46186,570.25,508.375,1.128,1.128,0,46186,46186,46186,278,1
27,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:279,0,45933,0,45933,45933,45933,574.75,500.5,1.128,1.128,0,45933,45933,45933,279,1
28,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:280,0,46205,0,46205,46205,46205,581.875,492.75,1.128,1.128,0,46205,46205,46205,280,1
29,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:281,0,46267,0,46267,46267,46267,586.75,484.25,1.128,1.128,0,46267,46267,46267,281,1
30,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:282,0,46533,0,46533,46533,46533,591.875,476.125,1.128,1.128,0,46533,46533,46533,282,1
31,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:283,0,46540,0,46540,46540,46540,595.875,467.375,1.128,1.128,0,46540,46540,46540,283,1
32,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:284,0,45951,0,45951,45951,45951,600.375,458.875,1.128,1.128,0,45951,45951,45951,284,1
33,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:285,0,46821,0,46821,46821,46821,605,449.75,1.128,1.128,0,46821,46821,46821,285,1
34,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:286,0,46450,0,46450,46450,46450,608.625,440.5,1.128,1.128,0,46450,46450,46450,286,1
35,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:289,0,45739,0,45739,45739,45739,617.375,409.5,1.128,1.128,0,45739,45739,45739,289,1
36,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:290,0,45140,0,45140,45140,45140,620.083,398.5,1.128,1.128,0,45140,45140,45140,290,1
37,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:291,0,44696,0,44696,44696,44696,621.833,386.75,1.128,1.128,0,44696,44696,44696,291,1
38,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:292,0,44725,0,44725,44725,44725,623.667,376.167,1.128,1.128,0,44725,44725,44725,292,1
39,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:293,0,44937,0,44937,44937,44937,623.833,364.833,1.128,1.128,0,44937,44937,44937,293,1
40,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:294,0,44728,0,44728,44728,44728,625.667,352,1.128,1.128,0,44728,44728,44728,294,1
41,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:295,0,44629,0,44629,44629,44629,628.625,339.875,1.128,1.128,0,44629,44629,44629,295,1
42,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:296,0,44894,0,44894,44894,44894,630.25,326.625,1.128,1.128,0,44894,44894,44894,296,1
43,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:297,0,45309,0,45309,45309,45309,632.375,314.125,1.128,1.128,0,45309,45309,45309,297,1
44,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:298,0,44409,0,44409,44409,44409,632.75,299.875,1.128,1.128,0,44409,44409,44409,298,1
45,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:299,0,44849,0,44849,44849,44849,634.625,286.75,1.128,1.128,0,44849,44849,44849,299,1
46,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:300,0,44736,0,44736,44736,44736,635.375,272.25,1.128,1.128,0,44736,44736,44736,300,1
47,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:301,0,43966,0,43966,43966,43966,635.75,256.875,1.128,1.128,0,43966,43966,43966,301,1
48,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:302,0,44008,0,44008,44008,44008,636.875,242.625,1.128,1.128,0,44008,44008,44008,302,1
49,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:303,0,43963,0,43963,43963,43963,637.25,226.375,1.128,1.128,0,43963,43963,43963,303,1
50,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:304,0,44321,0,44321,44321,44321,637.625,210,1.128,1.128,0,44321,44321,44321,304,1
51,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:305,0,44387,0,44387,44387,44387,639,194.625,1.128,1.128,0,44387,44387,44387,305,1
52,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:306,0,44094,0,44094,44094,44094,639,176.125,1.128,1.128,0,44094,44094,44094,306,1
53,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:307,0,43952,0,43952,43952,43952,639.125,158.5,1.128,1.128,0,43952,43952,43952,307,1
54,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:308,0,43578,0,43578,43578,43578,640.25,139.125,1.128,1.128,0,43578,43578,43578,308,1
55,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:309,0,43906,0,43906,43906,43906,640.125,120.75,1.128,1.128,0,43906,43906,43906,309,1
56,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:310,0,43934,0,43934,43934,43934,641.375,100.875,1.128,1.128,0,43934,43934,43934,310,1
57,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:311,0,44102,0,44102,44102,44102,643.5,80.375,1.128,1.128,0,44102,44102,44102,311,1
58,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:312,0,44067,0,44067,44067,44067,643.625,58.625,1.128,1.128,0,44067,44067,44067,312,1
59,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:313,0,43702,0,43702,43702,43702,643,36.25,1.128,1.128,0,43702,43702,43702,313,1
60,xslot_BT747_03_1000uLhr_z35um_adjSP_mov_2_MMStack_Pos0.ome.tif:314,0,43811,0,43811,43811,43811,643.375,14.375,1.128,1.128,0,43811,43811,43811,314,1
